,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3802,,│││├ノエル,ノエル(TM),"6,894",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,ノエル(TM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3803,,│││├青子,青子,"4,828",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,青子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3804,,│││├シオン,シオン,"5,285",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,シオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3805,,│││└琥珀,琥珀,"5,310",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,琥珀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3806,,│││　└翡翠,翡翠,"5,311",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,琥珀,翡翠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3807,,│││　　└メカ翡翠,メカ翡翠,"5,312",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,琥珀,翡翠,メカ翡翠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3808,,││├キスショット 17歳ver.,キスショット 17歳ver.,"5,738",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,キスショット 17歳ver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3809,,│││└忍,忍,"6,301",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,キスショット 17歳ver.,忍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3810,,││├アイギス,アイギス,"3,641",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,アイギス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3811,,│││├ジ・アルティメット仕様アイギス,ジ・アルティメット仕様アイギス,"4,308",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,アイギス,ジ・アルティメット仕様アイギス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3812,,│││└ラビリス,ラビリス,"4,703",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,アイギス,ラビリス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3813,,││├ことり,ことり,"5,515",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ことり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3814,,││├魔女っ娘ミラクるん,魔女っ娘ミラクるん,"5,335",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,魔女っ娘ミラクるん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3815,,││├マドカ,マドカ(1560),"1,560",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,マドカ(1560),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3816,,│││└エスカレイヤー,エスカレイヤー,"1,561",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,マドカ(1560),エスカレイヤー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3817,,││├ロングレンジ・ジョシコウセイ,ロングレンジ・ジョシコウセイ,"6,176",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818,,│││├エグゾアーム・ジョシコウセイ,エグゾアーム・ジョシコウセイ,"6,342",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,エグゾアーム・ジョシコウセイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3819,,│││├壱,壱,"6,292",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,壱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3820,,││││└壱[another],壱[another],"6,635",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,壱,壱[another],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3821,,│││├バイオニック・ジョシコウセイ,バイオニック・ジョシコウセイ,"6,248",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,バイオニック・ジョシコウセイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3822,,│││├参,参,"6,487",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,参,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823,,│││├陸,陸,"6,376",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,陸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3824,,│││└肆,肆,"6,294",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロングレンジ・ジョシコウセイ,肆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825,,││├神機使い女,神機使い女,"4,654",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,神機使い女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3826,,│││└カノン,カノン,"4,657",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,神機使い女,カノン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3827,,│││　└アリサ,アリサ,"4,670",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,神機使い女,カノン,アリサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3828,,││├ナリカ,ナリカ,"3,857",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ナリカ,ナリカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3829,,││├ロボミ,ロボミ,"6,794",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ロボミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3830,,││├KOS-MOS,KOS-MOS,"2,073",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,KOS-MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3831,,│││└KOS-MOS Ver.4,KOS-MOS Ver.4,"3,923",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,KOS-MOS,KOS-MOS Ver.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832,,│││　└E.S.ディナ,E.S.ディナ,"5,083",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,KOS-MOS,KOS-MOS Ver.4,E.S.ディナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-5,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833,,││├ネオオクサー,ネオオクサー,"1,628",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834,,│││├ゴーダンナー,ゴーダンナー,"1,915",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3835,,││││├ゴーダンナー・ツインドライブモード,ゴーダンナー・ツインドライブモード,"1,629",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,ゴーダンナー・ツインドライブモード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3836,,││││├ブレイドガイナー,ブレイドガイナー,"3,560",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,ブレイドガイナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3837,,│││││└ブレイドガイナー・ツインドライブモード,ブレイドガイナー・ツインドライブモード,"3,582",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,ブレイドガイナー,ブレイドガイナー・ツインドライブモード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3838,,││││├スサノヲ十式,スサノヲ十式,"2,866",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,スサノヲ十式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3839,,│││││├ネフティスIX,ネフティスIX,"3,050",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,スサノヲ十式,ネフティスIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3840,,│││││├ジュピター2,ジュピター2,"3,052",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,スサノヲ十式,ジュピター2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3841,,│││││├イシュタル12,イシュタル12,"3,053",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,スサノヲ十式,イシュタル12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842,,│││││└ディアーヌ7,ディアーヌ7,"3,051",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,スサノヲ十式,ディアーヌ7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3843,,││││├コアガンナー,コアガンナー,"3,412",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,コアガンナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3844,,│││││└Gガンナー,Gガンナー,"3,413",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,コアガンナー,Gガンナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3845,,││││└モリビト2号,モリビト2号,"1,487",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,ゴーダンナー,モリビト2号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3846,,│││├コスモダイバー,コスモダイバー,"5,974",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,コスモダイバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3847,,│││└セレブレイダー,セレブレイダー,"3,581",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ネオオクサー,セレブレイダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3848,,││├シャナ,シャナ,"4,058",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シャナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3849,,││├1st仕様なのは,1st仕様なのは,"2,464",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3850,,│││├なのは,なのは,"3,325",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,なのは,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3851,,││││└Force仕様なのは,Force仕様なのは,"4,328",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,なのは,Force仕様なのは,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3852,,│││└フェイト,フェイト,"2,465",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3853,,│││　├フェイト,フェイト(SS),"3,326",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,フェイト(SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3854,,│││　│├フェイト,フェイト(LF),"4,192",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,フェイト(SS),フェイト(LF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3855,,│││　│└レヴィ,レヴィ,"4,497",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,フェイト(SS),レヴィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3856,,│││　├2nd仕様なのは,2nd仕様なのは,"3,796",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,2nd仕様なのは,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3857,,│││　│└シュテル,シュテル(AS),"4,489",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,2nd仕様なのは,シュテル(AS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3858,,│││　├ヴィヴィオ,ヴィヴィオ,"3,797",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,ヴィヴィオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3859,,│││　├スバル,スバル,"2,975",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,スバル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3860,,│││　├キャロ,キャロ,"3,446",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,キャロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3861,,│││　├シグナム,シグナム,"3,449",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,シグナム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3862,,│││　├ティアナ,ティアナ,"3,447",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,ティアナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863,,│││　├エリオ,エリオ,"3,450",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,エリオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864,,│││　├はやて,はやて,"2,664",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,はやて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865,,│││　│├はやて,はやて(KK),"3,327",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,はやて,はやて(KK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866,,│││　│└ディアーチェ,ディアーチェ,"4,498",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,はやて,ディアーチェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3867,,│││　└ヴィータ,ヴィータ,"3,448",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,1st仕様なのは,フェイト,ヴィータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3868,,││├ミカサ,ミカサ,"4,343",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,ミカサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869,,││├さくら専用光武,さくら専用光武,"2,615",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870,,│││├すみれ専用光武,すみれ専用光武,"2,614",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,すみれ専用光武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3871,,│││├アイリス専用光武,アイリス専用光武,"2,612",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,アイリス専用光武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872,,│││├カンナ専用光武,カンナ専用光武,"2,610",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,カンナ専用光武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873,,│││├大神専用光武・改,大神専用光武・改,"1,237",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,大神専用光武・改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874,,││││├大神専用光武F,大神専用光武F,"1,238",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,大神専用光武・改,大神専用光武F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3875,,│││││├大神専用光武F2,大神専用光武F2,"1,239",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,大神専用光武・改,大神専用光武F,大神専用光武F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3876,,││││││└大神専用光武二式,大神専用光武二式,"1,251",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,さくら専用光武,大神専用光武・改,大神専用光武F,大神専用光武F2,大神専用光武二式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
